,Title,Author,book_type,Genre,dir_name
0,Andrea Vernon and the Superhero-Industrial Complex,,Audible,fiction,2020-02-20-andrea-vernon-and-the-superheroindustrial-complex
1,Indistractable,Nir Eyal,Kindle,non-fiction,2020-01-29-indistractable
2,Spillover - Animal Infections And The Next Human Pandemic,David Quammen,Audible and Kindle,non-fiction,2020-05-20-spillover-animal-infections-and-the-next-human-pandemic
3,Lost Hills,Lee Goldberg,Audible,fiction,2020-01-31-lost-hills
4,Alchemy,Rory Sutherland,Audible,non-fiction,2020-06-29-alchemy
5,Hi Five,Joe Ide,Audible,fiction,2020-02-07-hi-five
6,Terminus,Peter Clines,Audible,fiction,2020-03-31-terminus
7,The Motive,Patrick M. Lencioni,Hardcover,fiction,2020-02-29-the-motive
8,The Four Agreements,Don Miguel Ruiz,Paperback,non-fiction,2020-02-03-the-four-agreements
9,Range,David Epstein,Audible,non-fiction,2020-01-24-range
10,The Art Of Statistics,David Spiegelhalter,Hardcover,non-fiction,2020-01-20-the-art-of-statistics
11,The Second Sleep,Robert Harris,Audible,fiction,2020-01-27-the-second-sleep
12,Domain-Specific Knowledge Graph Construction,Mayank Kejriwal,Paperback,non-fiction,2020-02-28-domainspecific-knowledge-graph-construction
13,To Kill A Mockingbird,Harper Lee,Audible,fiction,2020-06-07-to-kill-a-mockingbird
14,Caffeine - How Caffeine Created the Modern World,Michael Pollan,Audible,fiction,2020-05-21-caffeine-how-caffeine-created-the-modern-world
15,Fair Warning,Michael Connelly,Audible,fiction,2020-06-13-fair-warning
16,Skippy Dies,Paul Murray,Audible,fiction,2020-03-04-skippy-dies
