,Title,Author,book_type,Genre,dir_name
0,Off To Be The Wizard,Scott Meyer,Audible,fiction,2022-04-17-off-to-be-the-wizard
1,This Time Tomorrow - A Novel,Emma Straub,Audible,fiction,2022-08-03-this-time-tomorrow
2,The Need For The Imam,Hazrat Mirza Ghulam Ahmad,Paperback,religion,2022-10-01-the-need-for-the-imam
3,Rivers Of London,Ben Aaronovitch,Audible,fiction,2022-09-28-rivers-of-london
4,Conclave,Robert Harris,Audible,fiction,2022-02-19-conclave
5,The Price Of Tomorrow - Why Deflation Is The Key To An Abundant Future,Jeff Booth,Audible,non-fiction,2022-06-03-the-price-of-tomorrow
6,In the Company of Strangers,Awais Khan,Audible,fiction,2022-02-23-in-the-company-of-strangers
7,Troubled Blood,Robert Galbraith,Audible,fiction,2022-12-26-troubled-blood
8,Deep Medicine - How Artificial Intelligence Can Revolutionize Health Care--And Make It More Humane,Eric Topol,Audible,non-fiction,2022-04-07-deep-medicine
9,The Yiddish Policemen's Union - A Novel,Michael Chabon,Audible,fiction,2022-02-02-the-yiddish-policemens-union
10,Upgrade - A Novel,Blake Crouch,Audible,fiction,2022-07-26-upgrade
11,Desert Star,Michael Connelly,Audible,fiction,2022-11-17-desert-star
12,The Murder Rule - A Novel,Dervla McTiernan,Audible,fiction,2022-07-22-the-murder-rule
13,The Lion Tracker's Guide To Life,Boyd Varty,Audible,non-fiction,2022-08-25-the-lion-trackers-guide-to-life
14,Bully Market - My Story Of Money And Misogyny At Goldman Sachs,Jamie Fiore Higgins,Audible,non-fiction,2022-10-17-bully-market
15,High Conflict - Why We Get Trapped And How We Get Out,Amanda Ripley,Audible,non-fiction,2022-09-18-high-conflict
16,Underground Airlines,Ben Winters,Audible,fiction,2022-12-05-underground-airlines
17,"AI Superpowers - China, Silicon Valley, And The New World Order",Kai-Fu Lee,Audible,non-fiction,2022-02-10-ai-superpowers
18,Andrea Vernon and the Big Axe Acquisition,Alexander C. Kane,Audible,fiction,2022-11-11-andrea-vernon-and-the-big-axe-acquisition
19,"Creativity, Inc. - Overcoming The Unseen Forces That Stand In The Way Of True Inspiration","Ed Catmull, Amy Wallace",Audible,non-fiction,2022-07-17-creativity-inc
20,The Wrong One,Dervla McTiernan,Audible,fiction,2022-04-20-the-wrong-one
21,The First Fifteen Lives Of Harry August,Claire North,Audible,fiction,2022-11-28-the-first-fifteen-lives-of-harry-august
22,Masters Of Enterprise - Giants Of American Business From John Jacob Astor And J.P. Morgan To Bill Gates And Oprah Winfrey,H.W. Brands,Audible,non-fiction,2022-03-14-masters-of-enterprise
23,Seven Brief Lessons On Physics,Carlo Rovelli,Paperback,non-fiction,2022-06-30-seven-brief-lessons-on-physics
24,The People's House,David Pepper,Audible,fiction,2022-08-12-the-peoples-house
25,"Freezing Order - A True Story Of Money Laundering, Murder, And Surviving Vladimir Putin's Wrath",Bill Browder,Audible,non-fiction,2022-04-29-freezing-order
26,Altitude Or Attitude - A Geeks's Travel Log; San Francisco To Concordia-K2-Gondogoro La Of Pakistan,Ifti Mirza,Paperback,non-fiction,2022-03-08-altitude-or-attitude
27,Things That Can And Cannot Be Said,"Arundhati Roy, John Cusack",Paperback,non-fiction,2022-10-02-things-that-can-and-cannot-be-said
28,The Capitol Game,Brian Haig,Audible,fiction,2022-02-06-the-capitol-game
29,A Hero Of Our Time,Mikhail Lermontov,Audible,fiction,2022-01-21-a-hero-of-our-time
30,Boyd - The Fighter Pilot Who Changed The Art Of War,Robert Coram,Audible,non-fiction,2022-01-12-boyd
31,"Span Of Control - What To Do When You're Under Pressure, Overwhelmed, And Ready To Get What You Really Want",Carey D. Lohrenz,Audible,non-fiction,2022-11-07-span-of-control
32,"A Vision So Noble - John Boyd, The Ooda Loop, And America's War On Terror",Daniel Ford,Paperback,non-fiction,2022-01-17-a-vision-so-noble
33,Upstream - The Quest To Solve Problems Before They Happen,Dan Heath,Audible,non-fiction,2022-01-29-upstream
34,The Self-Made Widow,Fabian Nicieza,Audible,fiction,2022-08-06-the-selfmade-widow
35,Money - The True Story Of A Made-Up Thing,Jacob Goldstein,Audible,non-fiction,2022-05-15-money--the-true-story-of-a-madeup-thing
36,"The Psychology Of Money - Timeless Lessons On Wealth, Greed, And Happiness",Morgan Housel,Audible,non-fiction,2022-05-12-the-psychology-of-money
37,Lecture Lahore - Islam In Comparison With Other Religions Of India,Hazrat Mirza Ghulam Ahmad,Paperback,religion,2022-10-08-lecture-lahore
38,"The 6 Types Of Working Genius - A Better Way To Understand Your Gifts, Your Frustrations, And Your Team",Patrick M. Lencioni,Hardcover,non-fiction,2022-10-01-the-6-types-of-working-genius
39,Sea Of Tranquility - A Novel,Emily St. John Mandel,Audible,fiction,2022-10-29-sea-of-tranquility
40,Lords Of Finance,Liaquat Ahamed,Audible,non-fiction,2022-07-05-lords-of-finance
41,How To Change - The Science Of Getting From Where You Are To Where You Want To Be,Katy Milkman,Audible,non-fiction,2022-02-27-how-to-change
42,Yearbook,Seth Rogen,Audible,non-fiction,2022-10-23-yearbook
43,Billion Dollar Loser - The Epic Rise And Spectacular Fall Of Adam Neumann And Wework,Reeves Wiedeman,Audible,non-fiction,2022-03-04-billion-dollar-loser
44,Best Of Friends - A Novel,Kamila Shamsie,Paperback,fiction,2022-10-13-best-of-friends
45,Circe,Madeline Miller,Audible,fiction,2022-12-10-circe
46,Born A Crime - Stories From A South African Childhood,Trevor Noah,Audible,non-fiction,2022-02-14-born-a-crime
47,"The Five Dysfunctions Of A Team - A Leadership Fable, 20Th Anniversary Edition",Patrick M. Lencioni,Audible,non-fiction,2022-05-05-the-five-dysfunctions-of-a-team
48,Talk Lean - Shorter Meetings. Quicker Results. Better Relations,Alan Palmer,Paperback,non-fiction,2022-10-21-talk-lean
49,Never Split The Difference - Negotiating As If Your Life Depended On It,"Chris Voss, Tahl Raz",Audible,fiction,2022-08-21-never-split-the-difference
50,Be The Hero - Three Powerful Ways To Overcome Challenges In Work And Life,Noah Blumenthal,Audible,non-fiction,2022-08-23-be-the-hero
51,The Ascent Of Money - A Financial History Of The World,Niall Ferguson,Audible,non-fiction,2022-06-09-the-ascent-of-money
