Title,Author,book_type,Genre,My Rating,dir_name
The Millionaire Fastlane: Crack the Code to Wealth and Live Rich for a Lifetime!,M.J. DeMarco,Audible,non-fiction,2,2025-12-24-the-millionaire-fastlane
There Is No Antimemetics Division: A Novel,qntm,Audible,fiction,5,2025-12-12-there-is-no-antimemetics-division
The Story of Russia,Orlando Figes,Audible,non-fiction,3,2025-12-12-the-story-of-russia
A Reluctant Spy,David   Goodman,Audible,fiction,3,2025-12-04-a-reluctant-spy
The Tiger: A True Story of Vengeance and Survival,John Vaillant,Audible,non-fiction,4,2025-11-24-the-tiger
Writing for Impact: 8 Secrets from Science That Will Fire Up Your Readers’ Brains,Bill Birchard,Audible,non-fiction,3,2025-11-19-writing-for-impact
Notes from Underground,Fyodor Dostoevsky,Audible,fiction,3,2025-11-12-notes-from-underground
"The Proving Ground (The Lincoln Lawyer, #8; Harry Bosch Universe, #40)",Michael    Connelly,Audible,fiction,4,2025-11-10-the-proving-ground
"Mindreader: The New Science of Deciphering What People Really Think, What They Really Want, and Who They Really Are",David J. Lieberman,Audible,non-fiction,3,2025-10-31-mindreader
A Spy at War,Charles    Beaumont,Audible,fiction,3,2025-10-31-a-spy-at-war
Lord Arthur Savile's Crime,Oscar Wilde,Paperback,fiction,3,2025-10-29-lord-arthur-saviles-crime
Making Sense of Chaos: A Better Economics for a Better World,J. Doyne Farmer,Hardcover,non-fiction,4,2025-10-26-making-sense-of-chaos
The Hallmarked Man (Cormoran Strike #8),Robert Galbraith,Audible,fiction,4,2025-10-20-the-hallmarked-man
Animal Societies: How Co-Operation Conquered the Natural World,Ashley   Ward,Audible,non-fiction,3,2025-10-17-animal-societies
"The Magic of Tiny Moments: How to Cultivate Love, Friendship, & Community",Jared Matthew Weiss,Audible,non-fiction,2,2025-10-02-the-magic-of-tiny-moments
"Clown Town (Slough House, #9)",Mick Herron,Audible,fiction,4,2025-10-03-clown-town
Changing a Leopard's Spots: The Adventures of Two Wildlife Trackers,Alex Van Den Heever,Paperback,non-fiction,4,2025-09-30-changing-a-leopards-spots
Montaigne,Stefan Zweig,Paperback,non-fiction,4,2025-09-20-montaigne
Crime and Punishment,Fyodor Dostoevsky,Audible,fiction,4,2025-09-10-crime-and-punishment
The 12 Week Year: Get More Done in 12 Weeks Than Others Do in 12 Months,Brian P. Moran,Audible,non-fiction,2,2025-08-16-the-12-week-year
The Unlikely Escape of Uriah Heep,H.G. Parry,Audible,fiction,4,2025-08-13-the-unlikely-escape-of-uriah-heep
The Power of Moments: Why Certain Experiences Have Extraordinary Impact,Chip Heath,Audible,non-fiction,3,2025-08-07-the-power-of-moments
Get In: The Inside Story of Labour Under Starmer,Patrick Maguire,Audible,non-fiction,3,2025-08-02-get-in
"A Spy Alone: The Oxford Spy Ring, Book 1",Charles      Beaumont,Audible,fiction,4,2025-07-14-a-spy-alone
The Oligarch's Daughter,Joseph Finder,Audible,fiction,3,2025-07-23-the-oligarchs-daughter
State of Terror,Hillary Rodham Clinton,Audible,fiction,2,2025-07-07-state-of-terror
